date,total_length,number_of_rides,zip_code
2023-09-25,215,32,07030
2023-09-26,413,59,07030
2023-09-27,751,92,07030
2023-09-28,528,69,07030
2023-09-29,306,18,07030
2023-09-30,1061,70,07030
2023-10-01,3557,127,07030
2023-10-02,2771,104,07030
2023-10-03,3238,88,07030
2023-10-04,1222,107,07030
2023-10-05,967,120,07030
2023-10-06,881,87,07030
2023-10-07,446,46,07030
2023-10-08,1137,76,07030
2023-10-09,777,83,07030
2023-10-10,843,93,07030
2023-10-11,3503,93,07030
2023-10-12,1034,87,07030
2023-10-13,827,79,07030
2023-10-14,345,28,07030
2023-10-15,1077,90,07030
2023-10-16,835,91,07030
2023-10-17,981,128,07030
2023-10-18,801,99,07030
2023-10-19,761,97,07030
2023-10-20,325,36,07030
2023-10-21,870,56,07030
2023-10-22,828,67,07030
2023-10-23,1158,80,07030
2023-10-24,632,82,07030
2023-10-25,931,95,07030
2023-10-26,2597,99,07030
2023-10-27,1905,101,07030
2023-10-28,1979,135,07030
2023-10-29,658,21,07030
2023-10-30,478,60,07030
2023-10-31,590,74,07030
