date,total_length,number_of_rides,zip_code
2023-04-13,1750,97,07310
2023-04-14,1228,98,07310
2023-04-15,2651,81,07310
2023-04-16,1163,67,07310
2023-04-17,498,68,07310
2023-04-18,629,74,07310
2023-04-19,656,73,07310
2023-04-20,596,65,07310
2023-04-21,744,78,07310
2023-04-22,1619,80,07310
2023-04-23,2388,104,07310
2023-04-24,726,68,07310
2023-04-25,601,73,07310
2023-04-26,634,69,07310
2023-04-27,524,60,07310
2023-04-28,354,37,07310
2023-04-29,65,11,07310
2023-04-30,184,15,07310
2023-05-01,818,60,07310
2023-05-02,521,58,07310
2023-05-03,509,60,07310
2023-05-04,599,61,07310
2023-05-05,974,89,07310
2023-05-06,4862,110,07310
2023-05-07,4022,85,07310
2023-05-08,1011,91,07310
2023-05-09,721,71,07310
2023-05-10,837,85,07310
2023-05-11,733,76,07310
2023-05-12,1073,95,07310
2023-05-13,1296,89,07310
2023-05-14,1358,70,07310
2023-05-15,854,79,07310
2023-05-16,788,73,07310
2023-05-17,1022,81,07310
2023-05-18,572,82,07310
2023-05-19,1078,103,07310
2023-05-20,170,16,07310
2023-05-21,1222,66,07310
2023-05-22,746,72,07310
2023-05-23,786,90,07310
2023-05-24,766,75,07310
2023-05-25,645,71,07310
2023-05-26,2059,83,07310
2023-05-27,1867,77,07310
2023-05-28,1083,65,07310
2023-05-29,1083,67,07310
2023-05-30,1370,77,07310
2023-05-31,707,70,07310
2023-06-01,767,80,07310
2023-06-02,902,92,07310
2023-06-03,1168,80,07310
2023-06-04,1425,69,07310
2023-06-05,787,87,07310
2023-06-06,812,78,07310
2023-06-07,628,59,07310
2023-06-08,772,81,07310
2023-06-09,829,88,07310
2023-06-10,1285,89,07310
2023-06-11,2067,77,07310
2023-06-12,789,68,07310
2023-06-13,885,87,07310
2023-06-14,836,83,07310
2023-06-15,1190,99,07310
2023-06-16,1154,91,07310
2023-06-17,2983,88,07310
2023-06-18,1195,88,07310
2023-06-19,1379,106,07310
2023-06-20,900,93,07310
2023-06-21,1311,91,07310
2023-06-22,733,81,07310
2023-06-23,814,82,07310
2023-06-24,540,57,07310
2023-06-25,1123,71,07310
2023-06-26,789,78,07310
2023-06-27,918,83,07310
2023-06-28,1028,100,07310
2023-06-29,725,89,07310
2023-06-30,845,89,07310
2023-07-01,1065,78,07310
2023-07-02,749,56,07310
2023-07-03,1412,94,07310
2023-07-04,2304,80,07310
2023-07-05,854,99,07310
2023-07-06,899,85,07310
2023-07-07,1309,126,07310
2023-07-08,1165,75,07310
2023-07-09,1163,86,07310
