zip_code,ride_id,started_at_date,ride_length
07310,175D42F9B702BF65,2022-11-17,11
07310,9F0DC38BA993F975,2022-11-03,9
07310,7B4C52081A4EBCC7,2022-11-26,9
07310,98F5D18D721A86A0,2022-11-11,5
07310,42F7D27E96619A99,2022-11-03,11
07310,149F8251D29B8943,2022-11-10,5
07310,828B3657AFAAAB2A,2022-11-01,8
07310,4ECDD62400EB76F7,2022-11-18,8
07310,E57325124A6094AC,2022-11-09,6
07310,8E8D47879D0D0027,2022-11-08,6
07310,8DA341A7662E51E1,2022-11-10,7
07310,6799B901D6F2F701,2022-11-14,6
07310,4221D7F0936BA729,2022-11-02,6
07310,257635A7FF8A2387,2022-11-15,10
07310,5A4261BD417652F5,2022-11-08,9
07310,C9FBF79A9801D61A,2022-11-12,6
07310,0ED910DD60D53074,2022-11-29,8
07310,C5104F324C3A6C3A,2022-11-27,8
07310,BF87663A54EB0E13,2022-11-09,7
07310,F832F595BC804C87,2022-11-29,9
07310,7AD3C74EE04D3E12,2022-11-25,8
07310,3D9FE81548E5E76F,2022-11-04,10
07310,8659A4210F8D5B48,2022-11-11,8
07310,FCAA7E5DB66443F1,2022-11-01,6
07310,59C81A9DB46D5CB0,2022-11-14,7
07310,57B993EDF36792E4,2022-11-16,5
07310,C20AFACCAD1CBB98,2022-11-26,9
07310,A47E90484463CA26,2022-11-07,30
07310,8F3E9007E4A42D2A,2022-11-12,37
07310,F60A9B83E6F431F5,2022-11-10,9
07310,50F7367868352BF7,2022-11-12,23
07310,6D250D19774D5089,2022-11-14,13
07310,0E1A1450E2E15FE1,2022-11-30,7
07310,1646B315C11ED536,2022-11-14,11
07310,1F9D60F273D333C0,2022-11-12,10
07310,375BAB286C8AC060,2022-11-22,9
07310,FBE51832C4C78456,2022-11-30,8
07310,A3041E321272D606,2022-11-26,10
07310,F1833284D9128D8D,2022-11-23,7
07310,95B3EB66F5FBF534,2022-11-26,22
07310,29009C46ACE4910E,2022-11-04,17
07310,326599B4A0E85920,2022-11-02,16
07310,60388FB0198A5A8B,2022-11-04,15
07310,FD39317A1EAA1A6F,2022-11-07,9
07310,03CF6CB6F65DBE3B,2022-11-10,14
07310,FDAE2B19B612E539,2022-11-23,14
07310,F252D354DF183257,2022-11-02,20
07310,C3915A48275C8095,2022-11-28,14
07310,0A12D3B12488B2F3,2022-11-11,29
07310,A5D532B78B7A4889,2022-11-11,10
07310,3A8015439D33F3D3,2022-11-26,9
07310,683A311D8201E843,2022-11-06,8
07310,3191E3DD311A1D88,2022-11-14,9
07310,5DD88EA6CF278B61,2022-11-11,8
07310,675544C75DB0B2B8,2022-11-30,14
07310,9590E62B053F15B8,2022-11-10,18
07310,AC7A7862FB744ED7,2022-11-05,15
07310,B8A6E5B8A67C6F43,2022-11-08,6
07310,61C231AC86B88DC2,2022-11-15,5
07310,53ADB3DC1C4FC61C,2022-11-02,7
07310,C19E3AC006843338,2022-11-22,42
07310,A43F7A245064DE39,2022-11-03,13
07310,898647E35D4ED07B,2022-11-05,15
07310,538F391DDE92700E,2022-11-14,35
07310,D0994F5BD626155D,2022-11-12,20
07310,0312B7305AD5BF99,2022-11-05,10
07310,6E669CFE88470B48,2022-11-10,35
07310,5373B689E8C6175F,2022-11-20,10
07310,7A7FF9DED084320C,2022-11-23,7
07310,A1440E0BDF8B6EC4,2022-11-04,9
07310,25A62566F82CD217,2022-11-08,9
07310,120D4737124DD280,2022-11-12,9
07310,6020BEDA8796FBC2,2022-11-16,4
07310,03DF41BBA2DF336E,2022-11-02,5
07310,DEB7C45E73DBB315,2022-11-02,10
07310,0B2FA2BAD3251CE9,2022-11-29,9
07310,64281743F8EA1FD6,2022-11-14,8
07310,5996C23684972141,2022-11-30,8
07310,7D62722E6A22625C,2022-11-01,9
07310,38A1503D18554D45,2022-11-15,10
07310,EF57352E35F1332C,2022-11-03,7
07310,5E3CC21187681EB8,2022-11-28,6
07310,B5E58D33D459A907,2022-11-13,11
07310,A2DBDDA6109B09AF,2022-11-17,8
07310,03370ACBB4E5D077,2022-11-07,6
07310,A216F4BFD1282847,2022-11-09,8
07310,715C9D50D0CB032D,2022-11-05,26
07310,10653D9FB497865A,2022-11-26,12
07310,99816B0404F67A0E,2022-11-03,7
07310,F435CD3E6B7BD5E9,2022-11-19,8
07310,8DC133B2405DF9C4,2022-11-05,46
07310,BF584109419543FC,2022-11-09,8
07310,8704C411EE47156F,2022-11-13,11
07310,D2D8C36E26E62ADA,2022-11-07,8
07310,54CDB6114F78DEC2,2022-11-12,6
07310,D771896870DA241A,2022-11-21,8
07310,EFBE909C1971BAE8,2022-11-04,6
07310,C26C99E87D54DEED,2022-11-08,10
07310,218E7376FE077744,2022-11-28,6
07310,38216F484296D97B,2022-11-23,14
07310,39A579258F760B86,2022-11-25,12
