date,total_length,number_of_rides,zip_code,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,daylight,is_work_day
2022-11-11,560.0,46.0,07030,68.0,58.2,63.4,68.0,58.2,63.4,59.6,0.8740000000000001,0.826,0.4167,0.0,0.0,36.5,14.6,1014.4,0.955,7.1,28.5,2.5,0.2,36189,0
2023-01-23,68.0,8.0,07302,39.7,36.4,38.2,37.1,27.5,31.2,32.9,0.8190000000000001,0.506,0.7082999999999999,0.0,0.0,30.0,18.3,1004.1,0.995,7.1,21.0,1.8,0.1,35321,1
2022-11-17,310.0,52.0,07310,45.5,38.0,40.5,39.8,31.0,34.8,24.4,0.53,0.0,0.0,0.0,0.0,26.7,14.9,1014.1,0.601,9.9,114.1,9.8,0.6,35461,1
2023-03-11,130.0,19.0,07302,44.7,36.7,40.7,40.8,31.3,35.6,34.4,0.795,0.113,0.5,0.0,0.0,26.4,11.5,1008.2,0.97,9.3,64.7,5.7,0.4,42230,0
2023-09-26,216.0,40.0,07302,61.4,59.3,60.2,61.4,59.3,60.2,54.5,0.8170000000000001,0.041,0.4583,0.0,0.0,26.4,13.4,1026.5,0.967,8.0,30.0,2.4,0.1,43178,1
2023-04-11,796.0,79.0,07310,72.2,48.8,61.4,72.2,47.2,61.3,28.9,0.315,0.0,0.0,0.0,0.0,31.1,16.0,1020.0,0.063,9.9,237.3,20.5,0.9,47246,1
2023-10-11,3503.0,93.0,07030,69.9,55.9,61.9,69.9,55.9,61.9,47.5,0.615,0.0,0.0,0.0,0.0,46.1,9.6,1011.0,0.3429999999999999,9.8,192.0,16.6,0.7,40777,1
2022-12-26,84.0,12.0,07310,29.0,18.3,24.2,22.3,5.3,14.8,6.6,0.467,0.0,0.0,0.0,0.0,25.3,17.2,1022.3,0.27,9.9,96.0,8.3,0.5,33343,0
2023-06-06,1028.0,104.0,07030,78.8,61.0,68.3,78.8,61.0,68.3,44.3,0.425,0.004,0.0833,0.0,0.0,23.7,8.1,1004.9,0.318,5.3,237.0,20.5,0.9,53942,1
2023-01-04,863.0,28.0,07302,65.9,51.9,58.1,65.9,51.9,58.1,52.5,0.82,0.021,0.125,0.0,0.0,16.1,8.3,1009.9,0.728,8.1,59.1,5.1,0.3,33683,1
2023-03-14,259.0,43.0,07310,39.5,33.2,35.7,37.3,23.7,27.5,30.0,0.8,0.298,0.4167,0.7,0.0,32.9,19.2,1001.0,0.981,5.9,56.7,4.8,0.3,42719,1
2023-01-12,141.0,21.0,07302,54.7,37.8,45.6,54.7,33.1,43.4,40.2,0.818,0.19,0.375,0.0,0.0,31.1,8.6,1017.4,0.999,8.5,16.2,1.5,0.1,34234,1
2023-01-06,419.0,49.0,07310,47.9,40.1,44.9,45.2,34.9,41.9,38.4,0.789,0.284,0.2917,0.0,0.0,31.1,10.0,1015.6,0.927,7.8,31.3,2.8,0.2,33796,1
2023-07-10,1043.0,100.0,07310,86.7,72.0,78.2,88.1,72.0,78.7,66.7,0.7070000000000001,0.002,0.0417,0.0,0.0,43.4,9.9,1008.1,0.569,9.8,212.4,18.3,0.9,53687,1
2022-11-24,222.0,27.0,07310,53.6,38.0,46.2,53.6,34.4,44.4,32.8,0.596,0.0,0.0,0.0,0.0,16.8,7.3,1027.2,0.134,9.9,107.5,9.2,0.5,34711,0
2023-03-04,256.0,29.0,07310,46.5,39.8,42.7,45.0,32.4,37.8,36.8,0.802,0.588,0.4167,0.0,0.0,38.8,25.3,1002.3,0.991,8.4,70.9,6.1,0.4,41094,0
2023-03-13,164.0,22.0,07030,43.8,38.8,41.1,39.8,33.7,36.4,37.1,0.86,0.396,0.7082999999999999,0.0,0.0,26.4,13.7,1011.9,1.0,5.6,35.3,2.9,0.1,42555,1
2023-01-31,333.0,42.0,07030,48.7,32.4,38.3,47.1,24.0,34.4,25.7,0.621,0.045,0.1667,0.0,0.0,49.4,10.4,1021.7,0.994,9.4,36.2,3.1,0.2,36294,1
2022-12-27,228.0,27.0,07310,34.6,28.8,31.7,34.6,19.9,25.6,13.2,0.461,0.0,0.0,0.0,0.0,17.2,10.3,1025.0,0.983,9.9,61.5,5.2,0.4,33365,1
2023-09-12,2107.0,74.0,07302,85.2,69.6,75.6,86.8,69.6,76.0,66.6,0.753,0.0,0.0,0.0,0.0,47.2,7.9,1015.5,0.281,9.7,150.9,13.2,0.9,45424,1
2023-08-15,950.0,111.0,07030,79.7,70.4,74.5,79.7,70.4,74.5,68.8,0.83,0.499,0.3333,0.0,0.0,24.2,10.2,1008.6,0.938,8.3,0.0,0.0,0.0,49701,1
2023-06-15,529.0,67.0,07302,78.8,61.7,70.3,78.8,61.7,70.3,54.0,0.575,0.095,0.0833,0.0,0.0,48.3,12.7,1003.4,0.421,9.9,233.0,20.1,0.7,54276,1
2023-06-20,290.0,50.0,07302,77.1,64.3,69.4,77.1,64.3,69.4,57.3,0.6659999999999999,0.0,0.0,0.0,0.0,17.2,10.2,1022.3,0.527,9.9,245.8,21.0,0.9,54339,1
