date,total_length,number_of_rides,zip_code
2023-10-10,702,84,07310
2023-10-11,704,84,07310
2023-10-12,678,82,07310
2023-10-13,826,86,07310
2023-10-14,182,15,07310
2023-10-15,766,48,07310
2023-10-16,591,78,07310
2023-10-17,560,72,07310
2023-10-18,484,71,07310
2023-10-19,2537,83,07310
2023-10-20,288,40,07310
2023-10-21,746,41,07310
2023-10-22,470,45,07310
2023-10-23,876,76,07310
2023-10-24,531,69,07310
2023-10-25,546,78,07310
2023-10-26,810,86,07310
2023-10-27,1003,102,07310
2023-10-28,1282,84,07310
2023-10-29,326,24,07310
2023-10-30,548,65,07310
2023-10-31,2065,67,07310
