zip_code,ride_id,started_at_date,ride_length
07030,0EBD4A8CC0190412,2022-11-25,34
07030,5AC1BA04960CD6D4,2022-11-04,5
07030,5BD82AB9E33D3AF4,2022-11-12,8
07030,700175FA74C0C344,2022-11-05,9
07030,99233330EF18C601,2022-11-17,6
07030,B9C64D2D89ECB312,2022-11-14,6
07030,5BE3982DDBCB9846,2022-11-28,17
07030,2040FA3FD607715D,2022-11-26,10
07030,8DA7775B46B8B477,2022-11-29,6
07030,64EB19E207C75439,2022-11-20,10
07030,90966B0AD2B7E283,2022-11-02,6
07030,6E0F9C4C3AE485FD,2022-11-10,14
07030,BD05AC115A9D86DD,2022-11-04,8
07030,F6781C5B71B44961,2022-11-03,6
07030,A9FD03FFEAA78B6D,2022-11-04,10
07030,F073B2B5C43A88C5,2022-11-01,11
07030,94A86F5A6B61FBEF,2022-11-12,9
07030,B16856F7C6F0FCEC,2022-11-11,10
07030,5D05A48F08D615D1,2022-11-16,11
07030,FD502B9206456B89,2022-11-12,8
07030,67B3F939C7248EA9,2022-11-19,7
07030,866C03DC34AA6397,2022-11-06,6
07030,073F602595716BA5,2022-11-09,6
07030,C1F0DC7695DB977E,2022-11-28,12
07030,A245918B11CF08CB,2022-11-13,14
07030,CDC3FED2E0F5956F,2022-11-17,10
07030,FA4F3DC2CC17E5A6,2022-11-10,10
07030,88853D3DCA8308D6,2022-11-04,9
07030,ED67136FAB6D80F8,2022-11-29,5
07030,C29A29C549D9F223,2022-11-13,6
07030,2DE8E88B3CC85C47,2022-11-17,7
07030,EAB57AA4C69C1D6C,2022-11-06,6
07030,B0ED8CF42DABEBD7,2022-11-28,12
07030,0F80427AF330CD37,2022-11-29,11
07030,D18DDC33B4B507AB,2022-11-03,7
07030,307D8F2E43B927C8,2022-11-02,6
07030,3FD003FAA66B69FF,2022-11-01,40
07030,313AD6BD15B1E6DE,2022-11-12,12
07030,7CBD873004E18E86,2022-11-17,8
07030,56E2EDB96C43FB36,2022-11-17,6
07030,D8A78ED870047880,2022-11-01,5
07030,131447D7064F8D51,2022-11-10,6
07030,AE278AED44599EB0,2022-11-08,7
07030,BA2041D8D9A5DFF2,2022-11-30,10
07030,32B3D777B7498D14,2022-11-13,17
07030,631D61A9E7C97065,2022-11-24,12
07030,13AEF768AB9538E2,2022-11-05,13
07030,68B19708C22BD336,2022-11-05,8
07030,E06CAD183C180A55,2022-11-05,9
07030,E236F54976F9B93F,2022-11-14,9
07030,008AA7427CE6865A,2022-11-10,6
07030,FD1FAF09B058BD02,2022-11-14,9
07030,D2BEE0AF06058BAE,2022-11-09,9
07030,DAF43B9F0F53111F,2022-11-17,21
07030,970B3F4F81031FCA,2022-11-01,7
07030,1291D5099818F590,2022-11-09,6
07030,EE92040D1C623AAF,2022-11-14,4
07030,EAD611C2619F5793,2022-11-11,7
07030,B2983E019D8694F4,2022-11-30,8
07030,67CE22512F071093,2022-11-03,6
07030,F3021FF11986C9B6,2022-11-16,6
07030,ABFD72104BECDA91,2022-11-02,119
07030,E2A4C399D5193322,2022-11-09,10
07030,EB4DF78A1E96EBDB,2022-11-19,10
07030,9C92EAE3758996AC,2022-11-04,6
07030,8C064C9536707E4E,2022-11-16,9
07030,5C5FCD663349FF41,2022-11-05,18
07030,71E36C6D5A13E10E,2022-11-07,6
07030,B12A9EA16D852FAB,2022-11-06,6
07030,59A3E7005C3BA9CD,2022-11-20,10
07030,F6A9E0A1626A665E,2022-11-10,10
07030,1C4D38E101B0CAD6,2022-11-14,5
07030,0B7D6E858F1962E1,2022-11-16,6
07030,16C7DEF4C7850B96,2022-11-02,5
07030,753DF6AE55C2C486,2022-11-02,7
07030,53DC7DBAE9D8100D,2022-11-12,8
07030,7A28FF9F2C1DCC66,2022-11-04,6
07030,19C84B982E0E225C,2022-11-02,12
07030,D4A61CAEC667A197,2022-11-12,28
07030,5FC5A90698005B4E,2022-11-17,5
07030,DD19A782DD1822EC,2022-11-10,12
07030,7EFE8467B3C00C1A,2022-11-07,8
07030,FC1A161463205134,2022-11-18,29
07030,F867331F6C94F3F4,2022-11-17,6
07030,E5DEB89D6328D198,2022-11-26,9
07030,E1EA87545483B73D,2022-11-09,9
07030,4A3319189ACE6B79,2022-11-13,9
07030,4E3C7E61DC281ED3,2022-11-05,9
07030,91DC9AAF87144B1B,2022-11-16,16
07030,9F387F25653F24B7,2022-11-10,4
07030,2522F369F237E098,2022-11-29,3
07030,127E1952094CD486,2022-11-29,18
07030,3EDF639CAD335A49,2022-11-06,5
07030,1A89008547F30BD6,2022-11-16,4
07030,F3B04CD071280A23,2022-11-07,5
07030,FA53A766054B7807,2022-11-07,6
07030,716BF906EE003C7C,2022-11-04,29
07030,B4D0F56CA86137D1,2022-11-04,4
07030,B43A9D5F50DBA3A2,2022-11-29,4
07030,C1CC8A02FE1ED896,2022-11-10,5
07030,331B98BADF5925C6,2022-11-05,5
07030,43ABEE3ADB172A8D,2022-11-17,4
07030,EEEA16D9DAA51CD2,2022-11-14,6
07030,C981EB3369B28430,2022-11-29,13
07030,448A795DB58AB584,2022-11-01,5
07030,A3598D7954F09C71,2022-11-09,7
07030,B9FC33752416A195,2022-11-16,10
07030,7F630675BD1F08E0,2022-11-13,17
07030,D34C6427143EBF45,2022-11-15,6
07030,36AED70942F4E002,2022-11-08,6
07030,A1CC889C48D35070,2022-11-30,8
07030,86D6AA8FF0BE5F70,2022-11-07,5
07030,31EBBBDBCB1EB068,2022-11-04,8
07030,7187610FFA645ADA,2022-11-07,32
07030,F9CF9CD2B1B121D3,2022-11-05,3
07030,067FB77E83BE8C1E,2022-11-17,4
07030,B4E3116E84578221,2022-11-02,5
07030,6318FA83C7BBDAFD,2022-11-16,5
07030,0A1BBB7E89522FF9,2022-11-21,4
07030,9A3D0994E2B7D6C9,2022-11-28,6
07030,C6160062D4D0EA62,2022-11-28,4
07030,B551F26956260799,2022-11-18,6
07030,76D2339F79E512E5,2022-11-19,5
07030,BFC7586A2CD4360B,2022-11-22,5
07030,693231E12AC3FCA4,2022-11-27,4
07030,5C62B6FAAEFBD43E,2022-11-03,36
07030,BCB23161C468BE84,2022-11-20,4
07030,916AA3B6689C5546,2022-11-02,4
07030,DF831ADE808B1F87,2022-11-21,6
07030,99E3DA26EC7C999A,2022-11-28,5
07030,06677F2F7217C93C,2022-11-11,3
07030,8A9DE9D73D7F80E8,2022-11-19,6
07030,D0625973DBADF2D5,2022-11-22,5
07030,309B2D9E2FC3C389,2022-11-01,7
07030,90BE11071BE058FE,2022-11-12,7
07030,39DCCDA1E6FC1D8F,2022-11-29,78
07030,2954246F013E3C41,2022-11-05,90
07030,F4EB3F1A88C44554,2022-11-02,66
07030,C2612354EE73F837,2022-11-02,1500
07030,B505535157DFCDDC,2022-11-23,1500
07030,480B89E4A09B52D7,2022-11-04,6
07030,5E5A2DDAC42A267F,2022-11-02,46
07030,C5D5C83DD86899E6,2022-11-12,21
07030,761264D0C353B500,2022-11-06,7
07030,D515500660EFE444,2022-11-06,17
07030,9889A96F40982B11,2022-11-17,10
07030,010E00868E1509E1,2022-11-05,19
07030,A2FB7259CC5312D0,2022-11-13,10
07030,C5D67AE9B2274D91,2022-11-11,59
07030,A8A77A9DC51E2983,2022-11-28,21
07030,EDCB435064FEED14,2022-11-05,6
07030,CBB4ADA00DB7747C,2022-11-06,17
07030,276D59CD69687747,2022-11-01,7
